date,symbol,open,high,low,close,volume,turnover,open_b1,open_b2,high_b1,high_b2,low_b1,low_b2,close_b1,close_b2,high_24m,high_36m,high_24m_b1,high_36m_b1,peak,trough,peak_b1,trough_b1,max_buy_price,max_buy_price_b1,price_change,price_change_b1,price_change_b2,price_change_across_b6,price_change_across_b12,price_change_across_f1,price_change_across_f2,price_change_across_f3,price_change_across_f6,ema5,ema10,ema5_b1,ema5_b2,ema10_b1,ema10_b2,atr_14,net_change_atr,net_change_atr_b1,net_change_atr_b2,net_change_atr_b3,net_change_atr_b4,nr4,rsi_7,rsi_7_sma3,rsi_7_sma3_b1,rsi_7_sma3_b2,crsi,crsi_b1,crsi_b2,price_struct,price_struct_b1,price_struct_b2,price_struct_b3,price_struct_b4,price_struct_b5,drawdown_streak,rally_month,rally_month_b1,rally_month_b2,rally_month_b3,rally_month_f1,rally_month_f2,rally_month_f3,rally_in_next_3_prds,label
2018-01-30,AMBER,1180.0,1298.3,1114.1,1250.15,119009,2741788587.0,,,,,,,,,,,,,,,,,,,,,,,,-0.12462504499460081,-0.13902331720193595,-0.09230892292924853,-0.22365316162060567,,,,,,,0.0,,,,,,False,,,,,,,,nan,,,,,,0,0,,,,0.0,0.0,0.0,0,0
2018-02-01,AMBER,1256.0,1327.0,1001.0,1094.35,54006,1052169070.0,1180.0,,1298.3,,1114.1,,1250.15,,,,,,1327.0,,,,1526.05,,-0.12462504499460081,,,,,-0.016448119888518353,0.03691689130534126,-0.014940375565404063,-0.10307488463471459,,,,,,,0.0,,,,,,False,,,,,,,,HHLL,nan,,,,,1,0,0.0,,,0.0,0.0,0.0,0,0
2018-03-01,AMBER,1100.0,1189.0,1059.0,1076.35,13646,275510693.0,1256.0,1180.0,1327.0,1298.3,1001.0,1114.1,1094.35,1250.15,,,,,1327.0,,1327.0,,1526.05,1526.05,-0.016448119888518353,-0.12462504499460081,,,,0.05425744413991751,0.0015329586101175963,-0.13132345426673475,-0.1403818460537929,,,,,,,0.0,,,,,,False,,,,,,,,LHHL,HHLL,nan,,,,2,0,0.0,0.0,,0.0,0.0,0.0,0,0
2018-04-02,AMBER,1075.0,1160.0,1070.1,1134.75,7415,93389818.0,1100.0,1256.0,1189.0,1327.0,1059.0,1001.0,1076.35,1094.35,,,,,1327.0,,1327.0,,1526.05,1526.05,0.05425744413991751,-0.016448119888518353,-0.12462504499460081,,,-0.05001101564221189,-0.17602996254681647,-0.14470147609605644,-0.23705662040096942,,,,,,,0.0,,,,,,False,,,,,,,,LHHL,LHHL,HHLL,nan,,,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-05-02,AMBER,1110.0,1200.0,1062.0,1078.0,5755,57739105.0,1075.0,1100.0,1160.0,1189.0,1070.1,1059.0,1134.75,1076.35,,,,,1327.0,,1327.0,,1526.05,1526.05,-0.05001101564221189,0.05425744413991751,-0.016448119888518353,,,-0.13265306122448983,-0.0996753246753247,-0.08947124304267162,-0.14703153988868278,1125.9864197530865,,,,,,0.0,,,,,,False,,,,,,,,HHLL,LHHL,LHHL,HHLL,nan,,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-06-01,AMBER,1080.6,1085.0,883.0,935.0,3578,43514620.0,1110.0,1075.0,1200.0,1160.0,1062.0,1070.1,1078.0,1134.75,,,,,1327.0,,1327.0,,1526.05,1526.05,-0.13265306122448983,-0.05001101564221189,0.05425744413991751,,,0.03802139037433161,0.04978609625668451,-0.010427807486630969,-0.03074866310160429,1062.324279835391,,1125.9864197530865,,,,0.0,,,,,,False,,,,,,,,LHLL,HHLL,LHHL,LHHL,HHLL,nan,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-07-02,AMBER,944.0,1060.0,888.0,970.55,6670,56917489.0,1080.6,1110.0,1085.0,1200.0,883.0,1062.0,935.0,1078.0,,,,,1327.0,,1327.0,,1526.05,1526.05,0.03802139037433161,-0.13265306122448983,-0.05001101564221189,-0.22365316162060567,,0.011333779815568601,-0.046674565967750214,-0.10798001133377977,-0.23543351707794546,1031.7328532235942,,1062.324279835391,1125.9864197530865,,,0.0,,,,,,False,22.716303773645464,,,,,,,LHHL,LHLL,HHLL,LHHL,LHHL,HHLL,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-08-01,AMBER,974.05,1022.0,900.0,981.55,4589,40269096.0,944.0,1080.6,1060.0,1085.0,888.0,883.0,970.55,935.0,,,,,1327.0,,1327.0,,1526.05,1526.05,0.011333779815568601,0.03802139037433161,-0.13265306122448983,-0.10307488463471459,,-0.057358259895063934,-0.11797666955325758,-0.06321634150068767,-0.3094595282970811,1015.0052354823962,,1031.7328532235942,1062.324279835391,,,0.0,,,,,,False,25.710671059086764,,,,,,,LHHL,LHHL,LHLL,HHLL,LHHL,LHHL,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-09-03,AMBER,991.95,1121.0,918.05,925.25,6997,64311103.0,974.05,944.0,1022.0,1060.0,900.0,888.0,981.55,970.55,,,,,1327.0,,1327.0,,1526.05,1526.05,-0.057358259895063934,0.011333779815568601,0.03802139037433161,-0.1403818460537929,,-0.06430694406917048,-0.006214536611726551,-0.020534990543096487,-0.11542826263172112,985.0868236549309,,1015.0052354823962,1031.7328532235942,,,0.0,,,,,,False,20.879975496261054,23.102316776331094,,,,,,HHHL,LHHL,LHHL,LHLL,HHLL,LHHL,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2018-10-01,AMBER,920.0,953.15,820.95,865.75,3021,19513445.0,991.95,974.05,1121.0,1022.0,918.05,900.0,925.25,981.55,,,,,1327.0,,1327.0,,1526.05,1526.05,-0.06430694406917048,-0.057358259895063934,0.011333779815568601,-0.23705662040096942,,0.0620848974877275,0.04678024833959005,-0.14288189431129084,-0.09656367311579561,945.3078824366207,1014.4988327410057,985.0868236549309,1015.0052354823962,,,0.0,,,,,,False,16.952706418572234,21.18111765797335,23.102316776331094,,,,,LHLL,HHHL,LHHL,LHHL,LHLL,HHLL,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
